scenario,algorithm,controller,cruise_m_s,radius_m,margin_m,lookahead_m,path_m,expanded_cells,median_search_ms,arrival_time_s,driven_m,tracking_rmse_m,fallbacks,status
empty,astar,waypoint,1.6,0.24,0.12,0.9,32.041631,122,1.023734,29.433333,31.899353,0.019028,0,arrived
empty,astar,pursuit,1.6,0.24,0.12,0.9,32.041631,122,0.866223,22.883333,31.567221,0.038333,0,arrived
empty,dijkstra,waypoint,1.6,0.24,0.12,0.9,32.041631,646,5.142165,29.133333,31.900959,0.014521,0,arrived
empty,dijkstra,pursuit,1.6,0.24,0.12,0.9,32.041631,646,4.528320,21.950000,31.721901,0.028708,0,arrived
warehouse,astar,waypoint,1.6,0.24,0.12,0.9,36.727922,265,1.791223,37.866667,36.343108,0.026894,0,arrived
warehouse,astar,pursuit,1.6,0.24,0.12,0.9,36.727922,265,1.663314,29.516667,35.187207,0.074167,0,arrived
warehouse,dijkstra,waypoint,1.6,0.24,0.12,0.9,36.727922,544,3.377448,36.333333,36.502033,0.020727,0,arrived
warehouse,dijkstra,pursuit,1.6,0.24,0.12,0.9,36.727922,544,3.388086,27.266667,36.038945,0.055162,0,arrived
corridors,astar,waypoint,1.6,0.24,0.12,0.9,57.455844,362,2.383562,57.016667,57.079779,0.024140,0,arrived
corridors,astar,pursuit,1.6,0.24,0.12,0.9,57.455844,362,2.336482,44.516667,56.030465,0.059026,0,arrived
corridors,dijkstra,waypoint,1.6,0.24,0.12,0.9,57.455844,504,3.299025,56.366667,57.146440,0.021325,0,arrived
corridors,dijkstra,pursuit,1.6,0.24,0.12,0.9,57.455844,504,3.200680,43.533333,56.353405,0.052958,0,arrived
clutter,astar,waypoint,1.6,0.24,0.12,0.9,32.627417,124,0.667550,32.133333,32.352829,0.028843,0,arrived
clutter,astar,pursuit,1.6,0.24,0.12,0.9,32.627417,124,0.654438,25.150000,31.519233,0.069078,0,arrived
clutter,dijkstra,waypoint,1.6,0.24,0.12,0.9,32.627417,584,3.158222,32.133333,32.348870,0.028603,0,arrived
clutter,dijkstra,pursuit,1.6,0.24,0.12,0.9,32.627417,584,3.310085,25.166667,31.519571,0.069100,0,arrived
